AQSID,STATE_NAME,COUNTY_NAME,PARAMETER_NAME,DATETIME_LOCAL,LATITUDE,LONGITUDE,UNITS_OF_MEASURE,AQI,CITY_NAME
AQ001346,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/06/28 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001347,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/07/01 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001348,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/07/04 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001349,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/07/07 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001350,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/07/10 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001351,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/07/13 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001352,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/07/19 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001353,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/07/22 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001354,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/03/21 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001355,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/03/24 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001356,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/03/27 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001357,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/03/30 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001358,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/04/02 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001359,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/04/05 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001360,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/04/08 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001361,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/04/11 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001362,District Of Columbia,District of Columbia,Antimony PM2.5 LC,2022/04/14 04:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
